acc,std,loss,tp,fp,tn,fn,hp
62.97023743391037,0.0,0.06451990082859993,373.75,141.75,4546.5,296.0,"[32, 5, 3, 0.5, 75, 0.1, 'categorical_crossentropy', 0.0]"
62.69308090209961,0.0,0.06443096399307251,376.6,144.4,4542.8,293.0,"[32, 3, 3, 0.3, 75, 0.1, 'mean_squared_error', 0.6]"
62.906914949417114,0.0,0.06390681490302086,374.5,142.33333333333334,4544.166666666667,295.0,"[8, 7, 5, 0.3, 75, 0.001, 'categorical_crossentropy', 0.6]"
62.88882238524301,0.0,0.06346256605216435,373.57142857142856,132.0,4554.0,295.85714285714283,"[8, 5, 3, 0.7, 75, 0.1, 'categorical_crossentropy', 0.6]"
63.603952527046204,0.0,0.06296913465484977,372.5,127.375,4558.25,296.875,"[16, 3, 5, 0.3, 25, 0.01, 'mean_squared_error', 0.6]"
63.32973837852478,0.0,0.0630331647892793,373.22222222222223,129.88888888888889,4555.444444444444,296.1111111111111,"[16, 5, 5, 0.3, 25, 0.01, 'categorical_crossentropy', 0.0]"
62.9459422826767,0.0,0.06352002061903476,373.4,136.1,4549.0,295.9,"[8, 3, 3, 0.5, 25, 0.001, 'mean_squared_error', 0.0]"
5.522388219833374,0.0,0.10965348780155182,0.0,0.0,4690.0,670.0,"[32, 5, 3, 0.7, 25, 0.001, 'categorical_crossentropy', 0.3]"
4.179104603827,0.0,0.11055959761142731,0.0,0.0,4690.0,670.0,"[16, 3, 5, 0.7, 75, 0.01, 'categorical_crossentropy', 0.0]"
21.492536490162212,0.0,0.10697973022858302,0.0,0.0,4690.0,670.0,"[32, 5, 5, 0.5, 25, 0.1, 'mean_squared_error', 0.9]"
22.023737151175737,0.0,0.10671044141054153,0.0,0.0,4688.25,669.75,"[8, 7, 5, 0.3, 25, 0.001, 'mean_squared_error', 0.9]"
18.456059992313385,0.0,0.10734386742115021,0.0,0.0,4687.2,669.6,"[16, 3, 5, 0.3, 50, 0.01, 'categorical_crossentropy', 0.9]"
16.550951823592186,0.0,0.10787025094032288,0.0,0.0,4686.5,669.5,"[16, 5, 3, 0.5, 75, 0.01, 'mean_squared_error', 0.3]"
15.16880648476737,0.0,0.10907554094280515,0.0,0.0,4686.0,669.4285714285714,"[16, 7, 3, 0.7, 75, 0.1, 'mean_squared_error', 0.3]"
13.964036013931036,0.0,0.10917352698743343,0.0,0.0,4685.625,669.375,"[8, 5, 3, 0.3, 50, 0.001, 'categorical_crossentropy', 0.3]"
12.777864270740086,0.0,0.10964444528023402,0.0,0.0,4685.333333333333,669.3333333333334,"[32, 5, 3, 0.3, 25, 0.1, 'mean_squared_error', 0.3]"
